index,overall,SEX_RAC1P_priv,SEX_RAC1P_dis,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis
General_Ensemble_Accuracy,0.8272,0.8569,0.8069,0.8575,0.7981,0.825,0.8315
Mean,0.5537999868392944,0.4918000102043152,0.5805000066757202,0.5210999846458435,0.5853999853134155,0.539900004863739,0.580299973487854
Std,0.026100000366568565,0.023499999195337296,0.03099999949336052,0.02419999986886978,0.027899999171495438,0.024800000712275505,0.0284000001847744
IQR,0.033,0.0296,0.0395,0.0305,0.0354,0.0314,0.036
Entropy,0.0,0.0,0.0663,0.0,0.0547,0.04,0.0
Jitter,0.0291,0.02,0.0428,0.0225,0.0355,0.0257,0.0356
Per_Sample_Accuracy,0.8257,0.8555,0.8035,0.8562,0.7962,0.8239,0.8291
Label_Stability,0.9595,0.9727,0.9408,0.9691,0.9502,0.964,0.9509
TPR,0.8587282210631451,0.8895142180094787,0.8380829015544041,0.8864254340096214,0.8274231678486997,0.8592873639063016,0.8575788402848423
TNR,0.8017921146953405,0.8227652335292298,0.7842304060434372,0.83046875,0.7774834437086092,0.7959468902865129,0.8122347066167291
PPV,0.7776884422110553,0.839765100671141,0.7390062821245003,0.8300039169604387,0.7225433526011561,0.7810766231818863,0.7708015848826577
FNR,0.14127177893685494,0.11048578199052132,0.16191709844559585,0.11357456599037859,0.17257683215130024,0.14071263609369844,0.14242115971515767
FPR,0.1982078853046595,0.1772347664707702,0.21576959395656278,0.16953125,0.22251655629139072,0.20405310971348709,0.18776529338327091
Accuracy,0.8272272073769272,0.8568618550461492,0.8069361004915346,0.8574891425108575,0.7980525803310613,0.8249981084966331,0.8314639056658039
F1,0.8162016771267339,0.8639240506329114,0.7854324734446131,0.8572873470213411,0.7714348688560723,0.8183174927342707,0.8118780096308186
Selection-Rate,0.4932824351792177,0.5410803449841126,0.4781540141998908,0.5157054842945157,0.4716650438169426,0.50457743814784,0.4718147828587863
Positive-Rate,1.1042059704805238,1.0592417061611374,1.1340673575129534,1.06797741058356,1.1451536643026006,1.1001319696469811,1.1125805357748388
